,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
503,Mister Miracle,1989.0,10,Issue,1989-11-01,Comicvine,4203,156405,Mister Miracle,1989,10,DC Comics, ,https://comicvine.gamespot.com/issue/4000-156405/,-246 days +00:00:00
504,Suicide Squad,1987.0,24,Issue,1989-02-28,Comicvine,3815,111465,Suicide Squad,1987,24,DC Comics, ,https://comicvine.gamespot.com/issue/4000-111465/,31 days 00:00:00
505,Suicide Squad,1987.0,25,Issue,1989-03-31,Comicvine,3815,30977,Suicide Squad,1987,25,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30977/,30 days 00:00:00
506,Suicide Squad,1987.0,26,Issue,1989-04-30,Comicvine,3815,31075,Suicide Squad,1987,26,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31075/,-61 days +00:00:00
507,Wonder Woman,1987.0,27,Issue,1989-02-28,Comicvine,3824,30871,Wonder Woman,1987,27,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30871/,31 days 00:00:00
508,Wonder Woman,1987.0,28,Issue,1989-03-31,Comicvine,3824,30982,Wonder Woman,1987,28,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30982/,30 days 00:00:00
509,Wonder Woman,1987.0,29,Issue,1989-04-30,Comicvine,3824,31079,Wonder Woman,1987,29,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31079/,31 days 00:00:00
510,Wonder Woman,1987.0,30,Issue,1989-05-31,Comicvine,3824,31195,Wonder Woman,1987,30,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31195/,30 days 00:00:00
511,Wonder Woman,1987.0,31,Issue,1989-06-30,Comicvine,3824,31306,Wonder Woman,1987,31,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31306/,31 days 00:00:00
512,Wonder Woman,1987.0,32,Issue,1989-07-31,Comicvine,3824,31413,Wonder Woman,1987,32,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31413/,31 days 00:00:00
513,Wonder Woman,1987.0,33,Issue,1989-08-31,Comicvine,3824,63498,Wonder Woman,1987,33,DC Comics, ,https://comicvine.gamespot.com/issue/4000-63498/,30 days 00:00:00
514,Wonder Woman,1987.0,34,Issue,1989-09-30,Comicvine,3824,63499,Wonder Woman,1987,34,DC Comics, ,https://comicvine.gamespot.com/issue/4000-63499/,31 days 00:00:00
515,Wonder Woman,1987.0,35,Issue,1989-10-31,Comicvine,3824,115895,Wonder Woman,1987,35,DC Comics, ,https://comicvine.gamespot.com/issue/4000-115895/,30 days 00:00:00
516,Wonder Woman,1987.0,36,Issue,1989-11-30,Comicvine,3824,63500,Wonder Woman,1987,36,DC Comics, ,https://comicvine.gamespot.com/issue/4000-63500/,-214 days +00:00:00
517,Green Arrow,1988.0,17,Issue,1989-04-30,Comicvine,4003,66708,Green Arrow,1988,17,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66708/,31 days 00:00:00
518,Green Arrow,1988.0,18,Issue,1989-05-31,Comicvine,4003,66709,Green Arrow,1988,18,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66709/,30 days 00:00:00
519,Green Arrow,1988.0,19,Issue,1989-06-30,Comicvine,4003,66710,Green Arrow,1988,19,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66710/,31 days 00:00:00
520,Green Arrow,1988.0,20,Issue,1989-07-31,Comicvine,4003,66711,Green Arrow,1988,20,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66711/,31 days 00:00:00
521,Green Arrow,1988.0,21,Issue,1989-08-31,Comicvine,4003,66712,Green Arrow,1988,21,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66712/,0 days 00:00:00
522,Green Arrow,1988.0,22,Issue,1989-08-31,Comicvine,4003,66713,Green Arrow,1988,22,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66713/,30 days 00:00:00
523,Green Arrow,1988.0,23,Issue,1989-09-30,Comicvine,4003,66714,Green Arrow,1988,23,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66714/,0 days 00:00:00
524,Green Arrow,1988.0,24,Issue,1989-09-30,Comicvine,4003,66715,Green Arrow,1988,24,DC Comics, ,https://comicvine.gamespot.com/issue/4000-66715/,31 days 00:00:00
525,Hellblazer,1988.0,23,Issue,1989-10-31,Comicvine,4008,31723,Hellblazer,1988,23,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31723/,24 days 00:00:00
526,Hellblazer,1988.0,24,Issue,1989-11-24,Comicvine,4008,31831,Hellblazer,1988,24,Vertigo, ,https://comicvine.gamespot.com/issue/4000-31831/,61 days 00:00:00
527,Hellblazer,1988.0,25,Issue,1990-01-24,Comicvine,4008,32292,Hellblazer,1988,25,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32292/,31 days 00:00:00
528,Hellblazer,1988.0,26,Issue,1990-02-24,Comicvine,4008,32387,Hellblazer,1988,26,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32387/,-388 days +00:00:00
529,Animal Man,1988.0,8,Issue,1989-02-01,Comicvine,3976,30844,Animal Man,1988,8,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30844/,28 days 00:00:00
530,Animal Man,1988.0,9,Issue,1989-03-01,Comicvine,3976,30955,Animal Man,1988,9,DC Comics, ,https://comicvine.gamespot.com/issue/4000-30955/,31 days 00:00:00
531,Animal Man,1988.0,10,Issue,1989-04-01,Comicvine,3976,31049,Animal Man,1988,10,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31049/,30 days 00:00:00
532,Animal Man,1988.0,11,Issue,1989-05-01,Comicvine,3976,31164,Animal Man,1988,11,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31164/,31 days 00:00:00
533,Animal Man,1988.0,12,Issue,1989-06-01,Comicvine,3976,31272,Animal Man,1988,12,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31272/,30 days 00:00:00
534,Animal Man,1988.0,13,Issue,1989-07-01,Comicvine,3976,31383,Animal Man,1988,13,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31383/,31 days 00:00:00
535,Animal Man,1988.0,14,Issue,1989-08-01,Comicvine,3976,31489,Animal Man,1988,14,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31489/,-93 days +00:00:00
536,Justice League Europe,1989.0,1,Issue,1989-04-30,Comicvine,4199,31065,Justice League Europe,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31065/,31 days 00:00:00
537,Justice League Europe,1989.0,2,Issue,1989-05-31,Comicvine,4199,31180,Justice League Europe,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31180/,1 days 00:00:00
538,Justice League Europe,1989.0,3,Issue,1989-06-01,Comicvine,4199,31289,Justice League Europe,1989,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31289/,30 days 00:00:00
539,Justice League Europe,1989.0,4,Issue,1989-07-01,Comicvine,4199,31399,Justice League Europe,1989,4,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31399/,31 days 00:00:00
540,Justice League Europe,1989.0,5,Issue,1989-08-01,Comicvine,4199,31506,Justice League Europe,1989,5,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31506/,31 days 00:00:00
541,Justice League Europe,1989.0,6,Issue,1989-09-01,Comicvine,4199,31615,Justice League Europe,1989,6,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31615/,60 days 00:00:00
542,Justice League America,1989.0,31,Issue,1989-10-31,Comicvine,4198,31724,Justice League America,1989,31,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31724/,-30 days +00:00:00
543,Justice League Europe,1989.0,7,Issue,1989-10-01,Comicvine,4199,31725,Justice League Europe,1989,7,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31725/,60 days 00:00:00
544,Justice League America,1989.0,32,Issue,1989-11-30,Comicvine,4198,31832,Justice League America,1989,32,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31832/,-29 days +00:00:00
545,Justice League Europe,1989.0,8,Issue,1989-11-01,Comicvine,4199,31833,Justice League Europe,1989,8,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31833/,30 days 00:00:00
546,Justice League Europe,1989.0,9,Issue,1989-12-01,Comicvine,4199,31966,Justice League Europe,1989,9,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31966/,31 days 00:00:00
